                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.84046,                 2.2051,                 1.2051,                0.60838,                0.60161,                0.67173,                0.49277,                0.89589,                 2.2581,                 1.3971,             0.00041035,             0.00041035,             0.00041035
                      2,                0.92366,                 1.5025,                 1.2559,                0.63175,                 0.7133,                0.74583,                0.50719,                  1.024,                 1.9688,                 1.4763,             0.00081065,             0.00081065,             0.00081065
                      3,                0.97164,                 1.4843,                 1.2903,                0.75868,                0.59664,                0.71026,                0.47981,                 1.0683,                 2.4032,                 1.6125,              0.0011944,              0.0011944,              0.0011944
                      4,                0.95128,                 1.3895,                 1.2745,                0.68519,                0.68525,                0.74453,                0.49706,                 1.1987,                 2.0721,                 1.5945,              0.0011757,              0.0011757,              0.0011757
                      5,                 0.9449,                 1.2946,                 1.2661,                 0.6562,                0.51806,                0.55928,                0.32112,                  1.346,                 2.7565,                  1.731,               0.001151,               0.001151,               0.001151
                      6,                 0.9603,                 1.1746,                 1.2527,                0.78857,                0.73112,                0.81326,                0.55057,                 1.1226,                 1.6714,                 1.4856,              0.0011263,              0.0011263,              0.0011263
                      7,                0.92142,                 1.1413,                 1.2447,                0.82096,                0.71497,                0.85105,                0.63005,                 1.0037,                 1.4417,                 1.3983,              0.0011015,              0.0011015,              0.0011015
                      8,                0.88455,                 1.0683,                 1.2244,                0.78575,                0.61332,                0.72433,                0.48315,                 1.3031,                 1.6978,                 1.8097,              0.0010768,              0.0010768,              0.0010768
                      9,                0.89529,                 1.0353,                  1.231,                0.83258,                0.75279,                0.85587,                0.61939,                  1.006,                 1.1089,                 1.3903,               0.001052,               0.001052,               0.001052
                     10,                0.84945,                0.97974,                 1.2053,                0.78629,                 0.7419,                0.82434,                 0.6058,                 1.0158,                 1.5656,                 1.4388,              0.0010273,              0.0010273,              0.0010273
